filename,latitude,longitude,altitude
003a34ee6b7841e6851b8fe511ebe102_0.JPG,40.686388,-74.040736,300.261998
003a34ee6b7841e6851b8fe511ebe102_1.JPG,40.683572,-74.040051,300.389547
003a34ee6b7841e6851b8fe511ebe102_2.JPG,40.689727,-74.044963,300.644255
003a34ee6b7841e6851b8fe511ebe102_3.JPG,40.689265,-74.048178,300.806625
003a34ee6b7841e6851b8fe511ebe102_4.JPG,40.688376,-74.047355,300.44358
003a34ee6b7841e6851b8fe511ebe102_5.JPG,40.685549,-74.045558,300.506757
0078d29a8d0b489caa3425969c7477ac_0.JPG,40.688009,-74.045239,300.132665
0078d29a8d0b489caa3425969c7477ac_1.JPG,40.684381,-74.042081,300.125473
0078d29a8d0b489caa3425969c7477ac_2.JPG,40.689368,-74.044041,300.790977
0078d29a8d0b489caa3425969c7477ac_3.JPG,40.680412,-74.048534,300.361087
0078d29a8d0b489caa3425969c7477ac_4.JPG,40.680717,-74.044021,300.519279
0078d29a8d0b489caa3425969c7477ac_5.JPG,40.683432,-74.046473,300.475772
00a033fefe644429a1e0fcffe88f8b39_0.JPG,40.68601,-74.041113,300.670593
00a033fefe644429a1e0fcffe88f8b39_1.JPG,40.683554,-74.047787,300.63907
00a033fefe644429a1e0fcffe88f8b39_2.JPG,40.681138,-74.049694,300.788687
00a033fefe644429a1e0fcffe88f8b39_3.JPG,40.686219,-74.049255,300.699359
00a033fefe644429a1e0fcffe88f8b39_4.JPG,40.688072,-74.045133,300.092754
00a033fefe644429a1e0fcffe88f8b39_5.JPG,40.687888,-74.048458,300.780726
01f1653a94f14044bf11d78c5b4221d1_0.JPG,40.685297,-74.04117,300.473436
01f1653a94f14044bf11d78c5b4221d1_1.JPG,40.683492,-74.046348,300.564112
01f1653a94f14044bf11d78c5b4221d1_2.JPG,40.689737,-74.041408,300.598422
01f1653a94f14044bf11d78c5b4221d1_3.JPG,40.685283,-74.041715,300.55549
01f1653a94f14044bf11d78c5b4221d1_4.JPG,40.682153,-74.045739,300.195884
